ciudad,redaccion,fecha,temperatura,texto_madrugada,texto_mañana,texto_tarde,texto_noche,icono_madrugada,icono_mañana,icono_tarde,icono_noche
Putre,Información redactada el día jueves 22 a las 16:55 hrs.,domingo 25,6/17,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Putre,Información redactada el día jueves 22 a las 16:55 hrs.,lunes 26,6/16,Nubosidad parcial,Nubosidad parcial,Nublado,Nublado,parcialaltanoche.png,parcialalta.png,parcial.png,parcialnoche.png
Putre,Información redactada el día jueves 22 a las 16:55 hrs.,martes 27,4/16,Nubosidad parcial,Despejado,Nublado,Nublado,parcialaltanoche.png,despejado.png,parcial.png,parcialnoche.png
Colchane,Información redactada el día jueves 22 a las 16:56 hrs.,viernes 23,4/22,Despejado,Despejado,Nubosidad parcial,Despejado,despejadonoche.png,despejado.png,parcialalta.png,despejadonoche.png
Colchane,Información redactada el día jueves 22 a las 16:56 hrs.,sábado 24,5/21,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Colchane,Información redactada el día jueves 22 a las 16:56 hrs.,domingo 25,2/23,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Colchane,Información redactada el día jueves 22 a las 16:56 hrs.,lunes 26,4/21,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Colchane,Información redactada el día jueves 22 a las 16:56 hrs.,martes 27,4/20,Nubosidad parcial,Despejado,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Iquique,Información redactada el día jueves 22 a las 16:56 hrs.,viernes 23,17/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Iquique,Información redactada el día jueves 22 a las 16:56 hrs.,sábado 24,18/24,Despejado variando a cubierto,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Iquique,Información redactada el día jueves 22 a las 16:56 hrs.,domingo 25,16/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Iquique,Información redactada el día jueves 22 a las 16:56 hrs.,lunes 26,17/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Iquique,Información redactada el día jueves 22 a las 16:56 hrs.,martes 27,18/25,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Pica,Información redactada el día jueves 22 a las 16:57 hrs.,viernes 23,10/34,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Pica,Información redactada el día jueves 22 a las 16:57 hrs.,sábado 24,10/34,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Pica,Información redactada el día jueves 22 a las 16:57 hrs.,domingo 25,9/33,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Pica,Información redactada el día jueves 22 a las 16:57 hrs.,lunes 26,10/34,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Pica,Información redactada el día jueves 22 a las 16:57 hrs.,martes 27,10/35,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Ollagüe,Información redactada el día jueves 22 a las 16:58 hrs.,viernes 23,-2/25,Despejado,Despejado,Nubosidad parcial,Despejado,despejadonoche.png,despejado.png,parcialalta.png,despejadonoche.png
Ollagüe,Información redactada el día jueves 22 a las 16:58 hrs.,sábado 24,-3/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Ollagüe,Información redactada el día jueves 22 a las 16:58 hrs.,domingo 25,-5/24,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Ollagüe,Información redactada el día jueves 22 a las 16:58 hrs.,lunes 26,-6/24,Nubosidad parcial,Nubosidad parcial,Despejado,Despejado,parcialaltanoche.png,parcialalta.png,despejado.png,despejadonoche.png
Ollagüe,Información redactada el día jueves 22 a las 16:58 hrs.,martes 27,-4/23,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Tocopilla,Información redactada el día jueves 22 a las 16:58 hrs.,viernes 23,18/24,Despejado variando a cubierto,Cubierto,Despejado,Despejado,despejadonoche.png,cubierto.png,despejado.png,despejadonoche.png
Tocopilla,Información redactada el día jueves 22 a las 16:58 hrs.,sábado 24,19/24,Cubierto,Nublado,Despejado,Despejado,cubierto.png,parcial.png,despejado.png,despejadonoche.png
Tocopilla,Información redactada el día jueves 22 a las 16:58 hrs.,domingo 25,17/24,Despejado variando a cubierto,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Tocopilla,Información redactada el día jueves 22 a las 16:58 hrs.,lunes 26,18/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Tocopilla,Información redactada el día jueves 22 a las 16:58 hrs.,martes 27,19/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Calama,Información redactada el día jueves 22 a las 16:59 hrs.,viernes 23,5/26,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 40 y 60 km/h,Despejado,despejadonoche.png,viento2540.png,viento4060.png,despejadonoche.png
Calama,Información redactada el día jueves 22 a las 16:59 hrs.,sábado 24,6/26,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 40 y 60 km/h,Despejado,despejadonoche.png,viento2540.png,viento4060.png,despejadonoche.png
Calama,Información redactada el día jueves 22 a las 16:59 hrs.,domingo 25,5/25,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 40 y 60 km/h,Despejado,despejadonoche.png,viento2540.png,viento4060.png,despejadonoche.png
Calama,Información redactada el día jueves 22 a las 16:59 hrs.,lunes 26,6/24,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 40 y 60 km/h,Despejado,despejadonoche.png,viento2540.png,viento4060.png,despejadonoche.png
Calama,Información redactada el día jueves 22 a las 16:59 hrs.,martes 27,5/25,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado con viento entre 40 y 60 km/h,Despejado,despejadonoche.png,viento2540.png,viento4060.png,despejadonoche.png
San Pedro,Información redactada el día jueves 22 a las 17:01 hrs.,viernes 23,6/32,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
San Pedro,Información redactada el día jueves 22 a las 17:01 hrs.,sábado 24,6/31,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
San Pedro,Información redactada el día jueves 22 a las 17:01 hrs.,domingo 25,6/31,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
San Pedro,Información redactada el día jueves 22 a las 17:01 hrs.,lunes 26,6/30,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
San Pedro,Información redactada el día jueves 22 a las 17:01 hrs.,martes 27,5/30,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
Mejillones,Información redactada el día jueves 22 a las 16:59 hrs.,viernes 23,18/29,Despejado variando a nublado,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,parcial.png,viento2540.png,despejadonoche.png
Mejillones,Información redactada el día jueves 22 a las 16:59 hrs.,sábado 24,18/28,Cubierto,Cubierto,Despejado con viento entre 25 y 40 km/h,Despejado,cubierto.png,cubierto.png,viento2540.png,despejadonoche.png
Mejillones,Información redactada el día jueves 22 a las 16:59 hrs.,domingo 25,18/27,Despejado variando a nublado,Nubosidad parcial variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,parcialalta.png,viento2540.png,despejadonoche.png
Mejillones,Información redactada el día jueves 22 a las 16:59 hrs.,lunes 26,17/28,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
Mejillones,Información redactada el día jueves 22 a las 16:59 hrs.,martes 27,17/27,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
Antofagasta,Información redactada el día jueves 22 a las 17:00 hrs.,viernes 23,18/23,Cubierto,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,cubierto.png,parcial.png,viento2540.png,despejadonoche.png
Antofagasta,Información redactada el día jueves 22 a las 17:00 hrs.,sábado 24,18/23,Cubierto,Nublado,Despejado,Despejado,cubierto.png,parcial.png,despejado.png,despejadonoche.png
Antofagasta,Información redactada el día jueves 22 a las 17:00 hrs.,domingo 25,18/23,Despejado variando a nublado,Nublado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Antofagasta,Información redactada el día jueves 22 a las 17:00 hrs.,lunes 26,17/25,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Antofagasta,Información redactada el día jueves 22 a las 17:00 hrs.,martes 27,17/23,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Taltal,Información redactada el día jueves 22 a las 17:10 hrs.,viernes 23,18/24,Cubierto,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,cubierto.png,parcial.png,viento2540.png,despejadonoche.png
Taltal,Información redactada el día jueves 22 a las 17:10 hrs.,sábado 24,18/24,Cubierto,Nublado variando a despejado,Despejado,Despejado,cubierto.png,parcial.png,despejado.png,despejadonoche.png
Taltal,Información redactada el día jueves 22 a las 17:10 hrs.,domingo 25,18/24,Despejado variando a nublado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Taltal,Información redactada el día jueves 22 a las 17:10 hrs.,lunes 26,17/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Taltal,Información redactada el día jueves 22 a las 17:10 hrs.,martes 27,17/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
El Salvador,Información redactada el día jueves 22 a las 17:02 hrs.,viernes 23,7/27,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
El Salvador,Información redactada el día jueves 22 a las 17:02 hrs.,sábado 24,8/27,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
El Salvador,Información redactada el día jueves 22 a las 17:02 hrs.,domingo 25,7/25,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
El Salvador,Información redactada el día jueves 22 a las 17:02 hrs.,lunes 26,8/24,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
El Salvador,Información redactada el día jueves 22 a las 17:02 hrs.,martes 27,6/25,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Chañaral,Información redactada el día jueves 22 a las 17:12 hrs.,viernes 23,16/19,Cubierto,Cubierto,Nublado,Cubierto,cubierto.png,cubierto.png,parcial.png,cubierto.png
Chañaral,Información redactada el día jueves 22 a las 17:12 hrs.,sábado 24,15/19,Cubierto,Cubierto,Nublado variando a despejado,Despejado,cubierto.png,cubierto.png,parcial.png,despejadonoche.png
Chañaral,Información redactada el día jueves 22 a las 17:12 hrs.,domingo 25,15/20,Despejado variando a cubierto,Cubierto,Despejado,Despejado,despejadonoche.png,cubierto.png,despejado.png,despejadonoche.png
Chañaral,Información redactada el día jueves 22 a las 17:12 hrs.,lunes 26,15/20,Despejado variando a cubierto,Cubierto variando a despejado,Despejado,Despejado,despejadonoche.png,cubierto.png,despejado.png,despejadonoche.png
Chañaral,Información redactada el día jueves 22 a las 17:12 hrs.,martes 27,15/21,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Caldera,Información redactada el día jueves 22 a las 17:13 hrs.,viernes 23,15/21,Cubierto,Cubierto,Nublado,Cubierto,cubierto.png,cubierto.png,parcial.png,cubierto.png
Caldera,Información redactada el día jueves 22 a las 17:13 hrs.,sábado 24,14/21,Cubierto,Cubierto,Nublado variando a despejado,Despejado,cubierto.png,cubierto.png,parcial.png,despejadonoche.png
Caldera,Información redactada el día jueves 22 a las 17:13 hrs.,domingo 25,14/21,Despejado variando a cubierto,Cubierto,Despejado,Despejado,despejadonoche.png,cubierto.png,despejado.png,despejadonoche.png
Caldera,Información redactada el día jueves 22 a las 17:13 hrs.,lunes 26,14/23,Despejado variando a cubierto,Cubierto variando a despejado,Despejado,Despejado,despejadonoche.png,cubierto.png,despejado.png,despejadonoche.png
Caldera,Información redactada el día jueves 22 a las 17:13 hrs.,martes 27,14/24,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Copiapó,Información redactada el día jueves 22 a las 17:14 hrs.,viernes 23,12/26,Despejado variando a nublado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Copiapó,Información redactada el día jueves 22 a las 17:14 hrs.,sábado 24,15/25,Despejado variando a nublado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Copiapó,Información redactada el día jueves 22 a las 17:14 hrs.,domingo 25,16/26,Despejado variando a nublado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Copiapó,Información redactada el día jueves 22 a las 17:14 hrs.,lunes 26,15/26,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Copiapó,Información redactada el día jueves 22 a las 17:14 hrs.,martes 27,14/28,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Huasco,Información redactada el día jueves 22 a las 17:07 hrs.,viernes 23,15/19,Despejado variando a cubierto,Cubierto,Nublado variando a despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,cubierto.png,viento2540.png,despejadonoche.png
Huasco,Información redactada el día jueves 22 a las 17:07 hrs.,sábado 24,14/19,Despejado variando a cubierto,Cubierto,Despejado,Despejado,despejadonoche.png,cubierto.png,despejado.png,despejadonoche.png
Huasco,Información redactada el día jueves 22 a las 17:07 hrs.,domingo 25,14/20,Despejado variando a nublado,Nublado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Huasco,Información redactada el día jueves 22 a las 17:07 hrs.,lunes 26,14/20,Despejado variando a nublado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Huasco,Información redactada el día jueves 22 a las 17:07 hrs.,martes 27,14/21,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Freirina,Información redactada el día jueves 22 a las 17:03 hrs.,viernes 23,10/23,Despejado variando a nublado,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,parcial.png,viento2540.png,despejadonoche.png
Freirina,Información redactada el día jueves 22 a las 17:03 hrs.,sábado 24,12/23,Despejado variando a nublado,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,parcial.png,viento2540.png,despejadonoche.png
Freirina,Información redactada el día jueves 22 a las 17:03 hrs.,domingo 25,10/24,Despejado variando a nublado,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,parcial.png,viento2540.png,despejadonoche.png
Freirina,Información redactada el día jueves 22 a las 17:03 hrs.,lunes 26,10/24,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
Freirina,Información redactada el día jueves 22 a las 17:03 hrs.,martes 27,10/24,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
Vallenar,Información redactada el día jueves 22 a las 17:01 hrs.,viernes 23,10/24,Despejado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Vallenar,Información redactada el día jueves 22 a las 17:01 hrs.,sábado 24,12/24,Despejado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Vallenar,Información redactada el día jueves 22 a las 17:01 hrs.,domingo 25,11/25,Despejado,Nublado variando a despejado,Despejado,Despejado,despejadonoche.png,parcial.png,despejado.png,despejadonoche.png
Vallenar,Información redactada el día jueves 22 a las 17:01 hrs.,lunes 26,11/25,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Vallenar,Información redactada el día jueves 22 a las 17:01 hrs.,martes 27,11/25,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
La Serena/Coquimbo,Información redactada el día jueves 22 a las 23:32 hrs.,viernes 23,14/20,Despejado,Nubosidad parcial variando a despejado,Despejado,Despejado,despejadonoche.png,parcialalta.png,despejado.png,despejadonoche.png
La Serena/Coquimbo,Información redactada el día jueves 22 a las 23:32 hrs.,sábado 24,11/20,Despejado,Nubosidad parcial,Despejado,Despejado variando a nublado,despejadonoche.png,parcialalta.png,despejado.png,despejadonoche.png
La Serena/Coquimbo,Información redactada el día jueves 22 a las 23:32 hrs.,domingo 25,11/19,Cubierto,Cubierto,Nubosidad parcial variando a despejado,Despejado variando a cubierto,cubierto.png,cubierto.png,parcialalta.png,despejadonoche.png
La Serena/Coquimbo,Información redactada el día jueves 22 a las 23:32 hrs.,lunes 26,11/19,Cubierto,Cubierto,Nubosidad parcial,Nubosidad parcial,cubierto.png,cubierto.png,parcialalta.png,parcialaltanoche.png
La Serena/Coquimbo,Información redactada el día jueves 22 a las 23:32 hrs.,martes 27,12/20,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Vicuña,Información redactada el día jueves 22 a las 16:52 hrs.,viernes 23,12/31,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Vicuña,Información redactada el día jueves 22 a las 16:52 hrs.,sábado 24,13/31,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Vicuña,Información redactada el día jueves 22 a las 16:52 hrs.,domingo 25,12/31,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Vicuña,Información redactada el día jueves 22 a las 16:52 hrs.,lunes 26,11/30,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
Vicuña,Información redactada el día jueves 22 a las 16:52 hrs.,martes 27,12/28,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
Ovalle,Información redactada el día jueves 22 a las 16:55 hrs.,viernes 23,12/31,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Ovalle,Información redactada el día jueves 22 a las 16:55 hrs.,sábado 24,13/29,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Ovalle,Información redactada el día jueves 22 a las 16:55 hrs.,domingo 25,12/28,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Ovalle,Información redactada el día jueves 22 a las 16:55 hrs.,lunes 26,11/26,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
Ovalle,Información redactada el día jueves 22 a las 16:55 hrs.,martes 27,12/25,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
Combarbalá,Información redactada el día jueves 22 a las 16:55 hrs.,viernes 23,12/31,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Combarbalá,Información redactada el día jueves 22 a las 16:55 hrs.,sábado 24,13/31,Despejado,Despejado,Nubosidad parcial,Despejado,despejadonoche.png,despejado.png,parcialalta.png,despejadonoche.png
Combarbalá,Información redactada el día jueves 22 a las 16:55 hrs.,domingo 25,12/31,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Combarbalá,Información redactada el día jueves 22 a las 16:55 hrs.,lunes 26,11/30,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
Combarbalá,Información redactada el día jueves 22 a las 16:55 hrs.,martes 27,12/28,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
Illapel,Información redactada el día jueves 22 a las 16:55 hrs.,viernes 23,11/28,Despejado variando a cubierto,Cubierto variando a despejado,Despejado,Despejado,despejadonoche.png,cubierto.png,despejado.png,despejadonoche.png
Illapel,Información redactada el día jueves 22 a las 16:55 hrs.,sábado 24,11/29,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
Illapel,Información redactada el día jueves 22 a las 16:55 hrs.,domingo 25,12/28,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
Illapel,Información redactada el día jueves 22 a las 16:55 hrs.,lunes 26,11/26,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
Illapel,Información redactada el día jueves 22 a las 16:55 hrs.,martes 27,12/25,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,Nubosidad parcial,parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
Los Vilos,Información redactada el día jueves 22 a las 23:33 hrs.,viernes 23,14/20,Nublado,Nublado variando a despejado,Despejado con viento entre 25 y 40 km/h,Despejado,parcialnoche.png,parcial.png,viento2540.png,despejadonoche.png
Los Vilos,Información redactada el día jueves 22 a las 23:33 hrs.,sábado 24,11/20,Despejado,Nubosidad parcial,Despejado,Despejado variando a nublado,despejadonoche.png,parcialalta.png,despejado.png,despejadonoche.png
Los Vilos,Información redactada el día jueves 22 a las 23:33 hrs.,domingo 25,11/19,Cubierto,Cubierto,Nubosidad parcial variando a despejado,Despejado variando a cubierto,cubierto.png,cubierto.png,parcialalta.png,despejadonoche.png
Los Vilos,Información redactada el día jueves 22 a las 23:33 hrs.,lunes 26,11/19,Cubierto,Cubierto,Nubosidad parcial,Nubosidad parcial,cubierto.png,cubierto.png,parcialalta.png,parcialaltanoche.png
Los Vilos,Información redactada el día jueves 22 a las 23:33 hrs.,martes 27,12/20,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
La Ligua,Información redactada el día jueves 22 a las 17:33 hrs.,viernes 23,11/29,Despejado,Despejado,Despejado con viento entre 25 y 40 km/h,Despejado,despejadonoche.png,despejado.png,viento2540.png,despejadonoche.png
La Ligua,Información redactada el día jueves 22 a las 17:33 hrs.,sábado 24,11/31,Despejado,Despejado,Despejado,Despejado,despejadonoche.png,despejado.png,despejado.png,despejadonoche.png
La Ligua,Información redactada el día jueves 22 a las 17:33 hrs.,domingo 25,13/29,Despejado,Despejado,Nubosidad parcial,Nubosidad parcial,despejadonoche.png,despejado.png,parcialalta.png,parcialaltanoche.png
La Ligua,Información redactada el día jueves 22 a las 17:33 hrs.,lunes 26,12/27,Nubosidad parcial,Nubosidad parcial,"Nubosidad parcial, ocasionalmente nublado","Nubosidad parcial, ocasionalmente nublado",parcialaltanoche.png,parcialalta.png,parcialalta.png,parcialaltanoche.png
